sequence_id,frame_num,viewpoint,Head_x,Head_y,L_Sho_x,L_Sho_y,R_Sho_x,R_Sho_y,L_Elb_x,L_Elb_y,R_Elb_x,R_Elb_y,L_Wri_x,L_Wri_y,R_Wri_x,R_Wri_y,L_Hip_x,L_Hip_y,R_Hip_x,R_Hip_y,L_Kne_x,L_Kne_y,R_Kne_x,R_Kne_y,L_Ank_x,L_Ank_y,R_Ank_x,R_Ank_y
0481,17,back,161.064,120.297,161.247,139.374,133.785,126.919,152.376,143.02,109.604,126.312,147.364,144.189,120.965,108.267,139.01,165.074,105.594,166.411,144.356,203.168,116.287,205.173,144.356,236.584,117.624,246.609
0481,18,back,161.733,120.965,161.976,140.164,134.939,127.345,153.045,138.342,118.96,125.644,145.192,133.914,121.634,108.936,140.347,163.738,107.599,165.074,144.356,201.163,117.624,201.832,144.356,234.579,118.292,238.589
0481,19,back,162.401,120.965,162.705,140.286,136.094,127.102,153.713,134.332,124.975,123.639,143.02,122.97,122.302,108.936,141.015,161.733,108.936,163.738,144.356,198.49,118.96,197.822,144.356,232.574,118.96,231.238
0481,20,back,163.738,121.634,164.102,141.076,137.916,127.527,154.763,139.583,130.99,121.634,145.693,115.619,123.639,109.604,142.351,160.396,110.941,162.401,144.356,199.158,120.297,199.158,144.356,230.569,122.91,229.111
0481,21,back,164.406,120.297,164.831,139.86,139.071,125.947,155.145,142.829,128.985,122.302,147.03,125.644,120.297,115.619,142.351,159.059,112.277,160.396,144.356,195.817,120.965,197.153,143.688,226.559,126.19,224.98
0481,22,back,167.079,117.624,167.565,137.309,142.23,123.031,157.532,144.738,127.649,122.97,148.366,135.0,116.955,120.965,143.02,158.391,114.282,159.059,142.351,196.485,121.634,195.817,143.02,225.223,131.476,219.512
0481,23,back,167.748,116.955,168.294,136.762,143.384,122.12,157.914,148.653,126.312,123.639,150.371,145.693,114.282,127.649,143.688,157.723,115.619,157.054,141.683,195.817,122.302,195.149,143.688,223.218,134.757,216.049
0481,24,back,169.084,115.619,169.692,135.547,145.207,120.54,158.964,151.899,124.975,121.634,153.045,155.718,110.941,132.995,143.688,158.391,116.955,155.718,145.025,195.149,123.639,193.812,143.02,221.881,138.706,211.917
0481,25,back,171.089,115.619,171.757,135.668,147.698,120.297,160.682,156.482,120.297,126.312,155.05,155.718,108.267,139.678,142.351,165.074,118.96,154.381,145.025,194.48,125.644,193.812,143.688,220.545,143.324,209.122
0481,26,back,170.421,114.282,171.757,135.668,143.02,118.292,159.728,159.728,121.634,127.649,154.381,154.381,107.599,135.668,142.351,165.074,120.297,154.381,139.01,196.485,124.975,192.475,140.347,217.203,145.268,204.991
0481,27,back,169.752,114.282,171.757,135.668,144.356,117.624,162.401,161.064,122.302,125.644,153.713,154.381,107.599,132.995,143.02,165.743,121.634,155.05,137.673,197.153,124.307,192.475,137.005,214.53,147.212,202.196
0481,28,back,169.752,112.946,172.426,136.337,145.025,117.624,162.401,159.728,124.975,125.644,153.713,153.045,107.599,129.653,145.693,161.064,123.639,155.05,136.337,197.822,124.307,191.139,131.658,212.525,149.824,198.065
0481,29,back,169.752,114.282,173.094,139.678,145.693,116.955,162.401,161.064,125.644,123.639,153.713,154.381,106.931,129.653,146.361,161.733,124.975,155.718,134.332,199.158,124.307,192.475,128.317,209.183,152.437,196.607
0481,30,back,169.752,114.282,173.762,139.678,147.03,118.292,162.401,161.064,126.98,121.634,153.713,154.381,106.262,124.975,147.698,163.069,126.98,155.718,133.663,199.827,124.307,192.475,124.307,205.842,155.05,193.812
0481,31,back,168.416,112.277,173.094,137.005,147.03,117.624,161.064,159.059,128.985,120.297,152.376,152.376,111.609,120.297,148.366,161.064,127.649,153.713,132.995,196.485,122.97,190.47,120.965,203.837,155.05,192.475
0481,32,back,167.748,111.609,172.426,133.663,147.03,116.955,160.396,158.391,131.658,119.629,151.708,151.708,114.282,118.96,150.371,159.728,128.985,152.376,132.327,193.812,122.302,189.802,118.292,201.832,154.381,191.807
0481,33,back,165.743,108.267,172.426,130.99,147.03,116.287,158.391,155.05,131.658,118.96,149.703,148.366,116.287,118.96,151.708,158.391,130.322,151.04,131.658,190.47,120.297,186.46,115.619,199.158,154.381,190.47
0481,34,back,164.406,106.931,171.757,126.98,147.03,115.619,157.054,153.713,132.327,118.292,148.366,147.03,116.955,120.297,153.045,157.054,130.99,149.035,130.99,187.797,118.96,185.124,112.277,197.153,154.381,189.134
0481,35,back,163.738,106.262,172.426,124.307,147.03,114.95,156.386,153.045,132.995,118.292,147.698,146.361,116.955,124.975,154.381,155.05,132.327,147.698,130.99,185.124,118.292,184.455,109.604,195.149,155.05,187.129
0481,36,back,163.738,103.589,172.426,121.634,147.03,112.946,156.386,150.371,131.658,119.629,147.698,143.688,117.624,126.312,154.381,152.376,132.995,145.025,133.663,183.119,118.292,181.782,110.941,193.144,155.05,187.797
0481,37,back,163.738,101.584,172.426,119.629,147.03,111.609,156.386,148.366,131.658,119.629,147.698,141.683,119.629,128.317,155.05,149.703,133.663,143.02,135.668,181.782,118.292,179.777,112.946,191.139,155.05,187.129
0481,38,back,163.738,99.579,172.426,117.624,149.703,109.604,156.386,146.361,131.658,119.629,147.698,139.678,120.297,130.322,155.05,147.03,133.663,141.015,138.342,179.777,118.292,177.772,114.95,188.465,155.05,187.129
0481,39,back,164.406,97.574,175.099,114.95,149.703,107.599,157.054,144.356,131.658,119.629,148.366,137.673,122.302,132.327,155.718,145.025,134.332,139.01,141.683,178.441,118.96,175.767,116.955,187.129,155.05,186.46
0482,0,back,342.847,80.866,360.223,120.297,311.436,104.257,351.535,139.678,292.723,138.342,352.203,163.738,298.069,156.386,350.866,172.426,306.757,163.738,340.173,224.554,312.104,228.564,340.173,257.302,326.139,259.307
0482,1,back,341.51,79.53,358.886,118.96,310.767,103.589,350.198,138.342,292.723,135.0,350.866,162.401,296.733,155.05,349.53,171.089,306.089,162.401,338.837,223.218,310.767,225.223,338.837,255.965,324.802,257.97
0482,2,back,340.842,78.861,357.55,118.292,310.099,103.589,349.53,137.673,292.723,130.99,350.198,161.733,296.064,154.381,348.193,170.421,305.421,161.733,338.168,222.55,312.772,221.881,338.168,255.297,324.134,257.302
0482,3,back,340.173,78.861,356.881,116.955,309.431,103.589,348.861,137.673,292.054,131.658,349.53,161.733,295.396,154.381,346.856,169.084,304.752,161.064,337.5,222.55,312.104,219.208,337.5,255.297,323.465,257.302
0482,4,back,339.505,78.861,355.545,116.287,308.762,103.589,348.193,137.673,291.386,130.99,348.861,161.733,294.728,154.381,346.188,168.416,304.084,159.728,336.832,222.55,311.436,217.203,336.832,255.297,322.797,257.302
0482,5,back,338.837,81.535,354.876,114.95,308.762,102.921,347.525,140.347,290.718,130.99,348.193,164.406,290.718,159.728,344.851,167.748,304.084,159.059,336.832,220.545,311.436,215.198,336.163,257.97,320.124,255.965
0482,6,back,338.168,81.535,353.54,114.282,308.094,102.921,346.856,140.347,290.05,130.99,347.525,164.406,288.713,159.059,343.515,167.079,302.748,167.748,336.163,219.876,311.436,214.53,335.495,257.97,318.119,255.297
0482,7,back,337.5,78.861,352.203,113.614,307.426,102.921,346.188,137.673,289.381,127.649,346.856,161.733,287.376,159.059,342.178,166.411,302.079,167.079,335.495,219.876,310.767,213.861,334.827,255.297,316.114,254.629
0482,8,back,336.832,82.203,351.535,112.946,306.757,102.921,345.52,141.015,288.713,127.649,346.188,165.074,285.371,153.045,341.51,165.074,301.411,166.411,335.495,219.208,310.767,213.193,334.158,258.639,313.441,257.97
0482,9,back,336.163,82.203,349.53,112.277,306.089,102.252,344.851,141.015,288.045,127.649,345.52,165.074,283.366,152.376,340.173,164.406,301.411,157.054,335.495,219.208,310.767,212.525,333.49,258.639,310.767,255.297
0482,10,back,334.827,82.871,348.193,112.277,306.089,102.252,343.515,141.683,288.045,127.649,344.183,165.743,282.03,152.376,339.505,164.406,301.411,157.054,334.827,219.208,310.767,211.856,332.153,259.307,309.431,253.292
0482,11,back,335.495,80.198,346.856,112.277,305.421,102.252,344.183,139.01,286.708,126.98,344.851,163.069,280.025,151.04,338.168,163.738,299.406,163.738,334.158,218.54,310.099,211.188,332.822,256.634,308.094,249.282
0482,12,back,334.158,80.866,345.52,112.946,304.752,102.252,342.847,139.678,286.04,126.98,343.515,163.738,278.02,150.371,337.5,163.738,298.738,163.069,332.153,217.203,308.762,209.851,331.485,257.302,306.757,244.604
0482,13,back,333.49,81.535,343.515,112.946,304.752,102.252,342.178,140.347,285.371,126.312,342.847,164.406,276.015,149.703,336.163,163.069,298.069,162.401,330.817,216.535,307.426,208.515,330.817,257.97,305.421,241.931
0482,14,back,332.153,81.535,342.178,112.946,303.416,99.579,340.842,140.347,284.035,127.649,341.51,164.406,274.01,149.703,334.158,153.045,297.401,161.733,329.48,215.198,305.421,207.178,329.48,257.97,304.084,239.926
0482,15,back,331.485,82.871,340.842,113.614,302.748,100.248,340.173,141.683,283.366,127.649,340.842,165.743,272.673,149.035,333.49,153.045,297.401,161.064,328.144,214.53,304.084,205.842,328.812,259.307,302.748,237.252
0482,16,back,330.149,82.871,339.505,113.614,302.079,101.584,338.837,141.683,281.361,126.312,339.505,165.743,271.337,148.366,330.817,151.708,296.064,159.059,326.807,211.856,302.748,204.505,326.807,257.302,303.416,239.926
0482,17,back,328.812,82.871,338.168,114.282,300.743,101.584,337.5,141.683,280.025,125.644,338.168,165.743,270.0,147.03,329.48,151.04,293.391,149.703,324.134,207.847,301.411,203.168,326.139,251.287,303.416,240.594
0482,18,back,327.475,82.871,336.832,114.282,299.406,100.916,336.163,141.683,278.688,124.307,336.832,165.743,268.663,146.361,326.807,149.703,292.054,147.698,322.129,199.827,300.074,201.163,325.47,245.272,303.416,241.262
0482,19,back,326.139,83.54,335.495,114.282,298.738,100.916,334.827,142.351,276.683,123.639,335.495,166.411,267.995,145.693,325.47,149.035,290.05,145.693,320.124,196.485,299.406,200.495,323.465,239.926,302.748,240.594
0482,20,back,324.802,83.54,334.158,114.95,297.401,100.248,333.49,142.351,275.347,122.302,334.158,166.411,267.327,145.025,323.465,147.698,288.713,144.356,318.119,193.144,299.406,200.495,320.792,229.901,302.748,240.594
0482,21,back,323.465,84.876,332.822,114.95,296.064,100.248,332.153,143.688,274.01,122.302,332.822,167.748,263.317,145.025,322.129,147.03,287.376,143.688,315.446,192.475,298.738,199.827,319.455,233.243,302.079,239.926
0482,22,back,322.797,86.213,331.485,115.619,295.396,100.916,331.485,145.025,272.005,120.297,332.153,169.084,259.975,143.02,320.792,147.03,286.708,143.688,314.109,195.817,298.069,199.827,316.782,231.906,302.079,238.589
0482,23,back,321.46,87.55,329.48,115.619,295.396,101.584,330.149,146.361,270.668,118.96,330.817,170.421,257.302,141.015,319.455,146.361,285.371,143.688,311.569,193.411,297.401,199.158,314.109,230.569,301.411,237.252
0482,24,back,320.792,89.554,328.144,115.619,295.396,102.252,329.48,141.015,270.0,117.624,333.49,167.748,253.292,136.337,318.119,146.361,284.703,143.688,309.698,191.673,297.401,199.158,311.77,228.163,301.411,237.252
0482,25,back,320.124,91.559,326.139,116.287,295.396,103.589,329.257,133.663,268.663,116.287,334.827,153.713,247.946,136.337,316.782,145.693,284.035,143.688,307.827,189.936,296.733,198.49,309.431,225.757,300.074,229.901
0482,26,back,319.455,92.896,325.47,114.95,294.728,104.257,329.035,125.644,267.327,114.95,333.49,140.347,246.609,129.653,315.446,145.693,282.698,150.371,305.955,187.53,295.396,196.485,307.092,222.683,301.411,235.248
0482,27,back,318.787,94.233,325.47,113.614,293.391,105.594,328.812,117.624,265.99,113.614,331.084,127.782,245.272,123.639,311.436,150.371,281.361,150.371,304.084,185.124,294.059,195.149,304.752,219.609,300.743,234.579
0482,28,back,317.45,97.574,323.465,114.95,290.05,105.594,326.139,111.609,265.322,112.946,328.01,117.223,247.277,117.624,310.099,149.703,280.693,150.371,301.545,184.723,292.054,193.144,301.745,218.54,300.074,231.238
0482,29,back,317.45,99.579,322.129,116.287,289.381,106.262,323.465,105.594,265.99,112.277,326.272,105.327,247.277,112.946,308.762,149.035,279.356,149.703,300.342,182.985,290.05,191.807,300.074,216.134,298.069,227.228
0482,30,back,317.45,101.584,320.792,116.955,288.045,107.599,320.792,99.579,268.663,110.272,324.535,93.431,247.277,108.267,307.426,148.366,278.02,149.703,299.139,181.248,288.045,189.802,298.403,213.728,295.396,210.52
0482,31,back,317.45,104.257,319.873,119.879,286.708,108.936,318.787,94.233,268.663,108.936,322.797,82.203,247.277,105.594,306.089,148.366,276.683,149.035,297.936,180.178,285.371,186.46,296.733,211.99,292.054,207.178
0482,32,back,317.45,104.257,318.954,120.13,286.04,110.272,316.782,95.569,269.332,108.936,320.792,77.525,247.946,106.931,304.084,148.366,275.347,149.035,296.733,176.436,282.698,182.45,295.062,207.579,288.713,204.505
0482,33,back,319.455,106.931,320.04,123.054,288.045,111.609,315.446,97.574,268.663,109.604,317.45,73.515,245.941,104.926,302.079,149.035,274.01,148.366,296.064,179.777,280.693,179.109,295.396,205.842,285.371,201.163
0482,34,back,317.45,110.941,317.116,127.314,286.04,112.946,313.441,97.574,267.995,110.272,317.45,80.866,247.946,103.589,300.743,150.371,272.673,148.366,294.059,179.109,278.688,176.436,294.728,204.505,288.713,213.193
0482,35,back,318.787,112.277,317.534,128.902,283.366,114.282,312.772,102.921,267.995,111.609,317.45,102.921,249.95,102.921,298.069,151.04,271.337,147.03,292.723,179.109,277.351,174.431,294.728,201.832,287.376,211.188
0482,36,back,316.782,111.609,314.61,128.484,284.035,112.946,311.436,119.629,267.327,112.277,318.787,111.609,253.292,108.936,300.074,147.03,270.668,146.361,290.05,178.441,276.015,172.426,294.059,199.827,281.361,191.807
0482,37,back,315.446,112.277,312.355,129.403,282.698,114.95,310.099,135.668,267.327,114.282,313.441,146.361,255.297,124.307,297.401,147.698,270.0,145.025,288.045,178.441,275.347,171.757,294.059,198.49,280.693,190.916
0482,38,back,315.446,114.282,311.436,131.658,282.698,114.95,309.431,151.708,265.322,118.96,312.104,171.089,257.302,130.99,295.396,147.698,269.332,144.356,285.371,177.772,274.678,171.089,291.482,198.013,281.361,191.361
0482,39,back,315.446,112.946,308.762,134.332,282.698,114.282,305.421,157.723,265.322,120.297,310.099,173.762,257.302,135.668,292.723,149.035,267.995,143.688,282.698,177.772,276.683,173.094,288.904,194.194,282.03,188.465
0482,40,back,314.777,112.946,308.762,135.668,283.366,114.282,302.079,161.733,265.99,122.302,306.089,181.114,255.965,139.01,290.05,151.04,266.658,143.02,280.025,177.104,276.683,173.094,285.658,191.711,282.03,186.906
0482,41,back,313.441,114.95,308.094,136.337,283.366,114.282,302.079,160.396,265.99,122.302,304.084,184.455,254.629,135.668,290.05,150.371,265.322,137.005,277.351,177.104,276.683,173.762,281.743,191.234,281.361,187.351
0482,42,back,312.772,116.955,307.426,137.005,284.035,114.282,300.743,159.728,265.99,123.639,305.612,180.732,253.96,135.0,288.713,149.035,264.653,136.337,275.347,176.436,276.015,173.762,278.497,190.757,281.361,187.797
0482,43,back,312.772,118.292,306.757,135.0,286.04,114.282,302.748,159.346,265.99,122.97,307.808,176.34,253.292,135.0,288.713,148.366,263.985,136.337,272.673,176.436,276.683,173.762,275.919,189.611,282.03,187.574
0482,44,back,312.104,118.96,306.089,136.337,286.04,115.619,304.084,158.296,265.99,121.634,309.335,171.28,251.955,134.332,288.045,147.698,263.317,135.668,269.332,176.436,276.683,173.762,272.673,187.797,282.03,186.683
0482,45,back,310.099,118.96,308.094,140.347,286.708,116.287,304.084,156.577,265.99,120.965,309.526,165.552,251.955,133.663,288.045,147.03,264.653,133.663,265.322,175.767,276.683,173.762,268.663,187.129,280.693,185.124
0482,46,back,311.436,120.297,307.426,139.01,284.703,114.282,307.426,156.195,265.99,120.297,313.059,161.16,251.955,132.327,287.376,145.693,263.985,131.658,263.317,175.099,276.683,173.762,266.658,185.124,280.025,184.455
0482,47,back,310.099,119.629,305.421,135.668,284.703,113.614,308.094,153.808,265.322,120.965,313.918,154.763,252.624,130.322,286.708,145.025,263.985,130.99,261.312,173.762,276.683,173.762,264.653,184.455,280.025,184.455
0482,48,back,307.426,119.629,304.752,135.0,284.703,113.614,307.426,152.09,265.322,119.629,313.441,149.035,253.96,128.985,286.04,143.688,263.985,128.985,259.307,173.762,276.683,174.431,262.649,183.119,280.025,184.455
0482,49,back,306.757,117.624,304.752,134.332,284.703,112.946,308.762,148.366,267.327,117.624,310.767,152.376,254.629,126.98,286.04,142.351,263.317,128.317,258.639,171.089,275.347,173.094,263.317,181.782,279.356,183.787
0482,50,back,306.757,116.287,304.084,133.663,287.376,112.946,304.752,149.703,267.995,116.955,307.426,159.059,255.965,124.975,285.371,141.683,263.317,126.98,258.639,168.416,272.673,165.743,263.985,181.114,279.356,183.787
0482,51,back,307.426,114.282,306.089,131.658,284.035,112.277,302.079,148.366,267.327,114.95,300.743,157.723,256.634,124.307,285.371,140.347,263.317,125.644,258.639,167.748,272.673,165.743,263.985,179.109,279.356,183.787
0482,52,back,307.426,112.277,306.089,130.322,284.035,111.609,299.406,147.698,267.327,114.282,294.059,157.054,256.634,124.307,285.371,138.342,262.649,124.307,259.307,167.079,272.673,165.743,263.317,177.772,279.356,183.787
0482,53,back,308.094,110.941,306.089,129.653,287.376,108.267,296.733,145.025,267.327,112.946,288.045,156.386,257.302,123.639,286.04,137.673,263.317,122.97,259.307,166.411,272.673,165.743,263.317,176.436,279.356,183.787
0483,0,back,254.667,7.333,293.333,12.667,262.667,14.667,368.667,11.333,271.333,31.333,403.333,54.0,320.0,24.0,380.667,73.333,320.0,78.667,361.333,164.667,313.333,148.0,352.0,250.0,308.667,226.667
0483,1,back,254.667,7.333,293.333,12.667,262.667,14.667,368.667,11.333,271.333,31.333,399.333,46.667,317.614,25.579,376.667,74.667,320.0,78.667,358.0,162.0,310.0,148.667,351.333,239.333,308.667,230.0
0483,2,back,254.667,7.333,293.333,12.667,262.667,14.667,368.667,11.333,271.333,31.333,395.333,42.0,315.228,27.158,373.333,75.333,320.0,78.667,354.667,160.0,307.333,150.0,350.667,229.333,310.0,228.667
0483,3,back,254.667,7.333,293.333,12.667,262.667,14.667,368.667,11.333,271.333,31.333,394.667,35.333,312.842,28.737,369.333,76.667,320.0,78.667,351.333,158.0,304.0,150.667,352.0,209.333,310.667,226.667
0483,4,back,254.667,7.333,293.333,12.667,262.667,14.667,369.333,9.333,271.333,31.333,396.667,28.0,310.456,30.316,366.0,78.0,318.0,80.0,350.0,156.667,300.667,152.0,351.333,198.0,312.0,225.333
0483,5,back,254.667,7.333,293.333,12.667,262.667,14.667,366.0,7.333,271.333,31.333,400.0,18.0,308.07,31.895,362.667,79.333,316.0,80.667,346.667,154.667,298.0,153.333,350.333,192.0,314.0,224.667
0483,6,back,254.667,7.333,293.333,12.667,262.667,14.667,364.0,7.333,271.333,31.333,396.667,17.231,305.684,33.474,359.333,80.667,314.0,82.0,341.333,152.0,295.333,154.0,349.333,186.0,314.667,222.0
0483,7,back,254.667,7.333,293.333,12.667,262.667,14.667,360.933,7.4,271.333,31.333,393.333,16.462,303.298,35.053,356.0,82.667,312.0,83.333,336.0,149.333,292.667,155.333,349.333,194.667,316.0,219.333
0483,8,back,254.667,7.333,293.333,12.667,262.667,14.667,357.867,7.467,271.333,31.333,390.0,15.692,300.912,36.632,352.667,84.667,310.0,86.0,330.667,147.333,290.667,158.667,343.515,193.697,312.0,212.667
0483,9,back,254.667,7.333,293.333,12.667,262.667,14.667,354.8,7.533,271.333,31.333,386.667,14.923,298.526,38.211,350.0,86.667,308.667,88.667,328.0,147.333,289.333,160.0,337.697,192.727,312.0,210.667
0483,10,back,254.667,7.333,293.333,12.667,262.667,14.667,351.733,7.6,271.333,31.333,383.333,14.154,296.14,39.789,347.333,88.0,308.0,92.0,323.333,146.0,288.0,158.667,331.879,191.758,312.667,208.667
0483,11,back,254.667,7.333,293.333,12.667,262.667,14.667,348.667,7.667,271.333,31.333,380.0,13.385,293.754,41.368,345.333,90.0,307.333,94.667,319.333,145.333,288.0,159.333,326.061,190.788,312.667,206.0
0483,12,back,254.667,7.333,293.333,12.667,262.667,14.667,345.6,7.733,271.333,31.333,376.667,12.615,291.368,42.947,343.333,91.333,306.0,98.0,317.556,144.8,288.667,160.667,320.242,189.818,312.0,203.333
0483,13,back,254.667,7.333,293.333,12.667,262.667,14.667,342.533,7.8,271.333,31.333,373.333,11.846,288.982,44.526,341.333,93.333,306.0,100.667,315.778,144.267,290.0,161.333,314.424,188.848,312.0,200.667
0483,14,back,254.667,7.333,293.333,12.667,262.667,14.667,339.467,7.867,271.333,31.333,370.0,11.077,286.596,46.105,340.0,95.333,304.667,101.333,314.0,143.733,291.333,162.0,308.606,187.879,312.0,198.667
0483,15,back,254.667,7.333,293.333,12.667,259.333,16.667,336.4,7.933,271.333,31.333,366.667,10.308,284.211,47.684,338.667,97.333,303.333,102.667,312.222,143.2,291.333,165.333,302.788,186.909,312.667,197.333
0483,16,back,254.667,7.333,293.333,12.667,256.0,20.667,333.333,8.0,271.333,31.333,363.333,9.538,281.825,49.263,338.0,97.333,302.667,103.333,310.444,142.667,294.667,161.333,296.97,185.939,315.333,197.333
0483,17,back,254.667,7.333,293.333,12.667,258.0,28.0,331.333,12.667,271.333,31.333,360.0,8.769,279.439,50.842,336.0,96.0,301.333,102.667,308.667,142.133,298.0,161.333,291.152,184.97,315.333,195.333
0483,18,back,253.333,7.333,300.667,16.667,256.0,30.0,328.667,17.333,270.0,31.333,355.333,8.0,275.719,52.421,334.667,94.667,300.667,102.667,305.556,141.6,298.667,156.667,284.0,184.0,316.0,193.333
0483,19,back,252.667,7.333,298.0,17.333,255.333,28.667,328.667,20.0,264.667,45.333,356.0,17.333,272.667,54.0,333.333,94.0,299.333,100.667,303.111,141.067,302.0,154.0,283.333,183.333,312.667,188.0
0483,20,back,252.667,7.333,296.667,17.333,252.667,30.0,328.667,22.667,262.667,56.667,355.333,28.0,267.333,74.667,332.0,92.667,298.0,98.667,301.333,140.533,300.667,151.333,281.333,184.667,312.0,186.667
0483,21,back,250.0,7.333,296.0,17.333,252.667,32.0,330.0,26.0,260.0,70.0,354.0,36.0,260.0,94.667,330.0,91.333,296.667,96.667,296.889,140.0,301.333,148.0,280.667,183.333,321.333,186.667
0483,22,back,250.0,7.333,295.333,17.333,246.667,40.667,330.667,29.333,255.333,80.667,354.0,45.333,252.0,113.333,327.333,89.333,295.333,94.667,295.111,139.467,301.333,144.667,281.333,183.333,324.667,182.667
0483,23,back,250.667,8.0,288.0,14.667,251.333,35.333,331.333,32.667,251.333,94.667,355.333,51.333,248.0,121.333,325.333,87.333,294.0,92.667,294.0,139.6,304.0,143.333,281.333,183.333,331.333,181.333
0483,24,back,253.333,7.333,286.0,15.333,249.333,34.0,332.0,36.0,250.0,96.667,353.333,56.667,243.333,134.0,323.333,85.333,293.333,91.333,294.889,138.4,306.667,142.667,281.333,183.333,341.333,183.333
0483,25,back,253.333,7.333,292.0,17.333,248.667,35.333,332.0,40.667,245.333,96.667,352.0,61.333,238.667,129.333,321.333,84.0,292.667,89.333,293.111,137.867,308.667,142.0,281.333,183.333,344.667,180.0
0483,26,back,254.0,7.333,284.667,14.667,247.333,35.333,332.0,42.0,244.0,96.667,353.333,60.667,237.467,109.333,320.667,82.667,292.0,88.0,292.0,137.333,313.333,137.333,281.333,183.333,354.0,181.333
0483,27,back,252.667,8.0,284.0,15.333,246.0,36.0,332.0,41.333,241.333,88.667,354.667,60.0,234.267,90.0,320.667,81.333,291.333,86.0,290.667,136.667,315.333,142.667,281.333,183.333,356.667,180.667
